year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assists,blocks,box_plus_minus,conference,defensive_rebounds,field_goal_attempts,field_goals,free_throw_attempt,free_throws,minutes_played,offensive_rebounds,personal_fouls,points,steals,three_point_attempts,three_pointers,total_rebounds,turnovers,two_point_attempts,two_pointers,player_id,classification
2000,A.J. Guyton,Indiana,32,G,10.55,3.04,3.22,33.0,37.5,9.0,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,68,13,,big-ten,,444,204,114,90,995.0,,27.0,570,29,172,72,90,69.0,272,132,aj-guyton-1,Exclude
2007,Aaron Brooks,Oregon,26,G,10.57,3.04,3.2,32.5,39.5,6.0,2.7,8.46,9.1,70.0,71.75,94.0,161.0,76.0,149,6,,pac-10,118.0,463,213,136,115,1289.0,31.0,88.0,621,48,198,80,149,89.0,265,133,aaron-brooks-1,Role Player
2014,Aaron Gordon,Arizona,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,75,39,9.6,pac-12,201.0,382,189,180,76,1187.0,102.0,90.0,470,34,45,16,303,55.0,337,173,aaron-gordon-1,Starter
2007,Aaron Gray,Pittsburgh,49,C,12.07,3.1,3.7,27.0,32.5,17.0,10.8,9.12,9.86,84.0,85.75,108.5,271.0,87.25,61,62,,big-east,221.0,361,204,166,91,1016.0,120.0,91.0,499,15,0,0,341,55.0,361,204,aaron-gray-1,Bust
2018,Aaron Holiday,California-Los Angeles,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,192,8,6.2,pac-12,104.0,460,212,192,159,1244.0,17.0,87.0,671,42,205,88,121,125.0,255,124,aaron-holiday-1,Exclude
2016,Abdel Nader,Iowa State,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,54,23,4.5,big-12,148.0,337,161,106,78,1088.0,26.0,98.0,452,37,140,52,174,79.0,197,109,abdel-nader-1,Exclude
2007,Acie Law,Texas A&M,11,G,11.0,3.04,3.22,29.0,34.0,8.0,5.6,8.46,9.1,74.0,75.5,98.0,186.0,78.5,169,1,,big-12,105.0,432,216,185,144,1153.0,8.0,83.0,614,39,83,38,113,88.0,349,178,acie-law-1,Exclude
2006,Adam Morrison,Gonzaga,3,F,11.46,3.1,3.37,25.5,30.5,11.0,6.8,8.95,9.59,78.5,79.75,105.0,198.0,82.0,56,11,,wcc,135.0,617,306,311,240,1205.0,47.0,66.0,926,35,173,74,182,76.0,444,232,adam-morrison-1,Exclude
2014,Adreian Payne,Michigan State,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,41,28,6.6,big-ten,177.0,354,178,138,109,870.0,48.0,80.0,509,15,104,44,225,63.0,250,134,adreian-payne-1,Exclude
2007,Al Horford,Florida,3,F,12.15,3.1,3.37,31.0,35.5,20.0,9.1,8.95,9.59,80.0,81.75,107.0,246.0,84.75,82,70,,sec,264.0,306,186,202,130,1057.0,96.0,94.0,502,28,2,0,360,68.0,304,186,al-horford-1,Starter
2007,Al Thornton,Florida State,14,F,11.96,3.1,3.16,35.0,41.0,9.0,5.8,8.95,9.59,77.75,79.0,104.0,221.0,85.0,24,40,,acc,145.0,460,244,210,166,1092.0,106.0,95.0,690,53,81,36,251,87.0,379,208,al-thornton-1,Bust
2010,Al-Farouq Aminu,Wake Forest,8,F,11.29,3.1,3.3,27.0,33.5,13.0,8.2,9.5,9.5,79.25,80.5,108.5,216.0,87.25,41,44,,acc,199.0,374,167,199,139,970.0,133.0,91.0,491,44,66,18,332,99.0,308,149,al-farouq-aminu-1,Role Player
2007,Alando Tucker,Wisconsin,29,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,73,10,,big-ten,118.0,545,256,249,164,1181.0,78.0,45.0,716,33,123,40,196,60.0,422,216,alando-tucker-1,Exclude
2011,Alec Burks,Colorado,12,G,10.96,3.04,3.17,29.0,36.0,5.0,5.1,9.0,8.25,77.0,78.0,103.5,192.6,82.0,112,12,7.2,big-12,156.0,535,251,302,249,1193.0,91.0,89.0,779,41,96,28,247,99.0,439,223,alec-burks-1,Role Player
2017,Alec Peters,Valparaiso,54,F,11.46,3.1,3.3,29.41,34.23,11.36,8.8,8.75,10.0,79.25,80.75,105.0,232.0,82.75,64,11,6.4,horizon,219.0,468,218,194,172,1019.0,74.0,64.0,666,23,160,58,293,71.0,308,160,alec-peters-1,Exclude
2005,Alex Acker,Pepperdine,60,G,11.67,3.04,3.35,28.0,32.0,11.0,6.39,8.46,9.1,75.75,76.75,102.5,183.0,84.0,114,15,,wcc,157.0,407,183,106,91,1152.0,44.0,58.0,516,40,137,59,201,82.0,270,124,alex-acker-1,Exclude
