,player_name,pro_id,cbb_id,made_asg
0,Kenyon Martin,martike01,kenyon-martin-1,1.0
1,Stromile Swift,swiftst01,stromile-swift-1,0.0
2,Darius Miles,milesda01,,0.0
3,Marcus Fizer,fizerma01,marcus-fizer-1,0.0
4,Mike Miller,millemi01,mike-miller-1,0.0
5,DerMarr Johnson,johnsde03,dermarr-johnson-1,0.0
6,Chris Mihm,mihmch01,chris-mihm-1,0.0
7,Jamal Crawford,crawfja01,jamal-crawford-1,0.0
8,Joel Przybilla,przybjo01,joel-przybilla-1,0.0
9,Keyon Dooling,doolike01,keyon-dooling-1,0.0
10,Jérôme Moïso,moisoje01,jerome-moiso-1,0.0
11,Etan Thomas,thomaet01,etan-thomas-1,0.0
12,Courtney Alexander,alexaco02,courtney-alexander-1,0.0
13,Mateen Cleaves,cleavma01,mateen-cleaves-1,0.0
14,Jason Collier,collija02,jason-collier-1,0.0
15,Hedo Türkoğlu,turkohe01,,0.0
16,Desmond Mason,masonde01,desmond-mason-1,0.0
17,Quentin Richardson,richaqu01,quentin-richardson-1,0.0
18,Jamaal Magloire,magloja01,jamaal-magloire-1,1.0
19,Speedy Claxton,claxtsp01,speedy-claxton-1,0.0
20,Morris Peterson,petermo01,morris-peterson-1,0.0
21,Donnell Harvey,harvedo01,donnell-harvey-1,0.0
22,DeShawn Stevenson,stevede01,,0.0
23,Dalibor Bagarić,bagarda01,,0.0
24,Jake Tsakalidis,tsakaja01,,0.0
25,Mamadou N'Diaye,ndiayma02,mamadou-ndiaye-1,0.0
26,Primož Brezec,brezepr01,,0.0
27,Erick Barkley,barkler01,erick-barkley-1,0.0
28,Mark Madsen,madsema01,mark-madsen-1,0.0
29,Marko Jarić,jaricma01,,0.0
30,Dan Langhi,langhda01,dan-langhi-1,0.0
31,A.J. Guyton,guytoaj01,aj-guyton-1,0.0
32,Jake Voskuhl,voskuja01,jake-voskuhl-1,0.0
33,Khalid El-Amin,elamikh01,khalid-el-amin-1,0.0
34,Mike Smith,smithmi03,mike-smith-1,0.0
35,Soumaila Samake,samakso01,,0.0
36,Eddie House,houseed01,eddie-house-1,0.0
37,Eduardo Nájera,najered01,eduardo-najera-1,0.0
38,Lavor Postell,postela01,lavor-postell-1,0.0
39,Hanno Möttölä,mottoha01,hanno-mottola-1,0.0
40,Olumide Oyedeji,oyedeol01,,0.0
41,Michael Redd,reddmi01,michael-redd-1,1.0
42,Brian Cardinal,cardibr01,brian-cardinal-1,0.0
43,Jabari Smith,smithja01,jabari-smith-1,0.0
44,Jason Hart,hartja01,jason-hart-1,0.0
45,Kaniel Dickens,dickeka01,kaniel-dickens-1,0.0
46,Igor Rakočević,rakocig01,,0.0
47,Ernest Brown,browner01,,0.0
48,Dan McClintock,mcclida01,dan-mcclintock-1,0.0
49,Chris Porter,portech01,chris-porter-1,0.0
50,Kwame Brown,brownkw01,,0.0
51,Tyson Chandler,chandty01,,1.0
52,Pau Gasol,gasolpa01,,1.0
53,Eddy Curry,curryed01,,0.0
54,Jason Richardson,richaja01,jason-richardson-1,0.0
55,Shane Battier,battish01,shane-battier-1,0.0
56,Eddie Griffin,griffed01,eddie-griffin-1,0.0
57,DeSagana Diop,diopde01,,0.0
58,Rodney White,whitero02,rodney-white-1,0.0
59,Joe Johnson,johnsjo02,joe-johnson-1,1.0
60,Kedrick Brown,brownke01,,0.0
61,Vladimir Radmanović,radmavl01,,0.0
62,Richard Jefferson,jefferi01,richard-jefferson-1,0.0
63,Troy Murphy,murphtr01,troy-murphy-1,0.0
64,Steven Hunter,huntest01,steven-hunter-1,0.0
65,Kirk Haston,hastoki01,kirk-haston-1,0.0
66,Michael Bradley,bradlmi01,michael-bradley-1,0.0
67,Jason Collins,collija04,jason-collins-1,0.0
68,Zach Randolph,randoza01,zach-randolph-1,1.0
69,Brendan Haywood,haywobr01,brendan-haywood-1,0.0
70,Joseph Forte,fortejo01,joseph-forte-1,0.0
71,Jeryl Sasser,sasseje01,jeryl-sasser-1,0.0
72,Brandon Armstrong,armstbr01,brandon-armstrong-1,0.0
73,Raül López,lopezra01,,0.0
74,Gerald Wallace,wallage01,gerald-wallace-1,1.0
75,Samuel Dalembert,dalemsa01,samuel-dalembert-1,0.0
76,Jamaal Tinsley,tinslja01,jamaal-tinsley-1,0.0
77,Tony Parker,parketo01,,1.0
78,Trenton Hassell,hassetr01,trenton-hassell-1,0.0
79,Gilbert Arenas,arenagi01,gilbert-arenas-1,1.0
80,Omar Cook,cookom01,omar-cook-1,0.0
81,Will Solomon,solomwi01,will-solomon-1,0.0
82,Terence Morris,morrite01,terence-morris-1,0.0
83,Brian Scalabrine,scalabr01,brian-scalabrine-1,0.0
84,Jeff Trepagnier,trepaje01,jeff-trepagnier-1,0.0
85,Damone Brown,brownda02,damone-brown-1,0.0
86,Mehmet Okur,okurme01,,1.0
87,Earl Watson,watsoea01,earl-watson-1,0.0
88,Jamison Brewer,breweja01,jamison-brewer-1,0.0
89,Bobby Simmons,simmobo01,bobby-simmons-1,0.0
90,Sean Lampley,lamplse01,sean-lampley-1,0.0
91,Loren Woods,woodslo01,loren-woods-1,0.0
92,Antonis Fotsis,fotsian01,,0.0
93,Ken Johnson,johnske03,ken-johnson-2,0.0
94,Ruben Boumtje-Boumtje,boumtru01,ruben-boumtje-boumtje-1,0.0
95,Alton Ford,fordal02,alton-ford-1,0.0
96,Jarron Collins,collija03,jarron-collins-1,0.0
97,Kenny Satterfield,satteke01,kenny-satterfield-1,0.0
98,Robertas Javtokas,javtoro01,robertas-javtokas-1,0.0
99,Alvin Jones,jonesal01,alvin-jones-1,0.0
100,Yao Ming,mingya01,,1.0
101,Jay Williams,willija03,jay-williams-1,0.0
102,Mike Dunleavy,dunlemi02,mike-dunleavy-2,0.0
103,Drew Gooden,goodedr01,drew-gooden-1,0.0
104,Nikoloz Tskitishvili,tskitni01,,0.0
105,Dajuan Wagner,wagneda02,dajuan-wagner-1,0.0
106,Nenê Hilário,hilarne01,,0.0
107,Chris Wilcox,wilcoch01,chris-wilcox-1,0.0
108,Amar'e Stoudemire,stoudam01,,1.0
109,Caron Butler,butleca01,caron-butler-1,1.0
110,Jared Jeffries,jeffrja01,jared-jeffries-1,0.0
111,Melvin Ely,elyme01,melvin-ely-1,0.0
112,Marcus Haislip,haislma01,marcus-haislip-1,0.0
113,Fred Jones,jonesfr01,fred-jones-1,0.0
114,Boštjan Nachbar,nachbbo01,,0.0
115,Jiří Welsch,welscji01,,0.0
116,Juan Dixon,dixonju01,juan-dixon-1,0.0
117,Curtis Borchardt,borchcu01,curtis-borchardt-1,0.0
118,Ryan Humphrey,humphry01,ryan-humphrey-1,0.0
119,Kareem Rush,rushka01,kareem-rush-1,0.0
120,Qyntel Woods,woodsqy01,,0.0
121,Casey Jacobsen,jacobca01,casey-jacobsen-1,0.0
122,Tayshaun Prince,princta01,tayshaun-prince-1,0.0
123,Nenad Krstić,krstine01,,0.0
124,Frank Williams,willifr02,frank-williams-1,0.0
125,John Salmons,salmojo01,john-salmons-1,0.0
126,Chris Jefferies,jeffech01,chris-jefferies-1,0.0
127,Dan Dickau,dickada01,dan-dickau-1,0.0
128,Roger Mason,masonro01,roger-mason-1,0.0
129,Robert Archibald,archiro01,robert-archibald-1,0.0
130,Vincent Yarbrough,yarbrvi01,vincent-yarbrough-1,0.0
131,Dan Gadzuric,gadzuda01,dan-gadzuric-1,0.0
132,Carlos Boozer,boozeca01,carlos-boozer-1,1.0
133,David Andersen,anderda03,,0.0
134,Tito Maddox,maddoti01,tito-maddox-1,0.0
135,Juan Carlos Navarro,navarju01,,0.0
136,Mario Kasun,kasunma01,,0.0
137,Ronald Murray,murraro01,,0.0
138,Lonny Baxter,baxtelo01,lonny-baxter-1,0.0
139,Matt Barnes,barnema02,matt-barnes-1,0.0
140,Jamal Sampson,sampsja01,jamal-sampson-1,0.0
141,Chris Owens,owensch01,chris-owens-1,0.0
142,Darius Songaila,songada01,darius-songaila-1,0.0
143,Rasual Butler,butlera01,rasual-butler-1,0.0
144,Tamar Slay,slayta01,tamar-slay-1,0.0
145,Luis Scola,scolalu01,,0.0
146,Randy Holcomb,holcora01,randy-holcomb-1,0.0
147,Corsley Edwards,edwarco01,corsley-edwards-1,0.0
148,LeBron James,jamesle01,,1.0
149,Darko Miličić,milicda01,,0.0
150,Carmelo Anthony,anthoca01,carmelo-anthony-1,1.0
151,Chris Bosh,boshch01,chris-bosh-1,1.0
152,Dwyane Wade,wadedw01,dwyane-wade-1,1.0
153,Chris Kaman,kamanch01,chris-kaman-1,1.0
154,Kirk Hinrich,hinriki01,kirk-hinrich-1,0.0
155,T.J. Ford,fordtj01,tj-ford-1,0.0
156,Mike Sweetney,sweetmi01,mike-sweetney-1,0.0
157,Jarvis Hayes,hayesja01,jarvis-hayes-1,0.0
158,Mickaël Piétrus,pietrmi01,,0.0
159,Nick Collison,collini01,nick-collison-1,0.0
160,Marcus Banks,banksma01,marcus-banks-1,0.0
161,Luke Ridnour,ridnolu01,luke-ridnour-1,0.0
162,Reece Gaines,gainere01,reece-gaines-1,0.0
163,Troy Bell,belltr01,troy-bell-1,0.0
164,Žarko Čabarkapa,cabarza01,,0.0
165,David West,westda01,david-west-1,1.0
166,Sasha Pavlović,pavloal01,,0.0
167,Dahntay Jones,jonesda02,dahntay-jones-1,0.0
168,Boris Diaw,diawbo01,,0.0
169,Zoran Planinić,planizo01,,0.0
170,Travis Outlaw,outlatr01,,0.0
171,Brian Cook,cookbr01,brian-cook-1,0.0
172,Carlos Delfino,delfica01,,0.0
173,Ndudi Ebi,ebind01,,0.0
174,Kendrick Perkins,perkike01,,0.0
175,Leandro Barbosa,barbole01,,0.0
176,Josh Howard,howarjo01,josh-howard-1,1.0
177,Maciej Lampe,lampema01,,0.0
178,Jason Kapono,kaponja01,jason-kapono-1,0.0
179,Luke Walton,waltolu01,luke-walton-1,0.0
180,Jerome Beasley,beaslje01,,0.0
181,Sofoklis Schortsanitis,schorso01,,0.0
182,Szymon Szewczyk,szewcsz01,,0.0
183,Mario Austin,austima01,mario-austin-1,0.0
184,Travis Hansen,hansetr01,travis-hansen-1,0.0
185,Steve Blake,blakest01,steve-blake-1,0.0
186,Slavko Vraneš,vranesl01,,0.0
187,Derrick Zimmerman,zimmede01,derrick-zimmerman-1,0.0
188,Willie Green,greenwi01,willie-green-1,0.0
189,Zaza Pachulia,pachuza01,,0.0
190,Keith Bogans,boganke01,keith-bogans-1,0.0
191,Matt Bonner,bonnema01,matt-bonner-1,0.0
192,Sani Bečirovič,becirsa01,,0.0
193,Mo Williams,willima01,mo-williams-1,1.0
194,James Lang,langja01,,0.0
195,James Jones,jonesja02,james-jones-1,0.0
196,Paccelis Morlende,morlepa01,,0.0
197,Kyle Korver,korveky01,kyle-korver-1,1.0
198,Nedžad Sinanović,sinanne01,,0.0
199,Brandon Hunter,huntebr01,brandon-hunter-1,0.0
200,Xue Yuyang,yuyanxu01,,0.0
201,Andreas Glyniadakis,glynian01,,0.0
202,Dwight Howard,howardw01,,1.0
203,Emeka Okafor,okafoem01,emeka-okafor-1,0.0
204,Ben Gordon,gordobe01,ben-gordon-1,0.0
205,Shaun Livingston,livinsh01,,0.0
206,Devin Harris,harride01,devin-harris-1,1.0
207,Josh Childress,childjo01,josh-childress-1,0.0
208,Luol Deng,denglu01,luol-deng-1,1.0
209,Rafael Araújo,araujra01,rafael-araujo-1,0.0
210,Andre Iguodala,iguodan01,andre-iguodala-1,1.0
211,Luke Jackson,jackslu02,luke-jackson-1,1.0
212,Andris Biedriņš,biedran01,,0.0
213,Robert Swift,swiftro01,,0.0
214,Sebastian Telfair,telfase01,,0.0
215,Kris Humphries,humphkr01,kris-humphries-1,0.0
216,Al Jefferson,jeffeal01,,0.0
217,Kirk Snyder,snydeki01,kirk-snyder-1,0.0
218,Josh Smith,smithjo03,,0.0
219,J.R. Smith,smithjr01,,0.0
220,Dorell Wright,wrighdo01,,0.0
221,Jameer Nelson,nelsoja01,jameer-nelson-1,1.0
222,Pavel Podkolzin,podkopa01,,0.0
223,Viktor Khryapa,khryavi01,,0.0
