year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,player_id,classification
2000,A.J. Guyton,Indiana,32,G,10.55,3.04,3.22,33.0,37.5,9.0,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,,403,,52,,,,,0.541,1642,747,0.249,409,0.79,323,3260.0,,,111.0,2100,,129,0.41700000000000004,684,0.414,283,,429,0.5720000000000001,13.6,218.0,958,0.484,464,,aj-guyton-1,Exclude
2000,A.J. Guyton,Indiana,32,G,10.55,3.04,3.22,33.0,37.5,9.0,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,,68,,13,,big-ten,,,0.541,444,204,0.257,114,0.789,90,995.0,,,27.0,570,,29,0.387,172,0.419,72,,90,0.5720000000000001,12.2,69.0,272,0.485,132,,aj-guyton-1,Exclude
2007,Aaron Brooks,Oregon,26,G,10.57,3.04,3.2,32.5,39.5,6.0,2.7,8.46,9.1,70.0,71.75,94.0,161.0,76.0,26.2,470,0.3,16,,,,311.0,0.518,1164,500,0.315,367,0.8340000000000001,306,3759.0,,86.0,265.0,1511,,127,0.47100000000000003,548,0.374,205,6.6,397,0.565,18.5,303.0,616,0.479,295,23.2,aaron-brooks-1,Role Player
2007,Aaron Brooks,Oregon,26,G,10.57,3.04,3.2,32.5,39.5,6.0,2.7,8.46,9.1,70.0,71.75,94.0,161.0,76.0,24.0,149,0.3,6,,pac-10,,118.0,0.546,463,213,0.294,136,0.846,115,1289.0,,31.0,88.0,621,,48,0.428,198,0.40399999999999997,80,7.0,149,0.589,14.4,89.0,265,0.502,133,24.4,aaron-brooks-1,Role Player
2014,Aaron Gordon,Arizona,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,13.0,75,3.4,39,9.6,,19.3,201.0,0.516,382,189,0.47100000000000003,180,0.42200000000000004,76,1187.0,10.4,102.0,90.0,470,1.8,34,0.11800000000000001,45,0.35600000000000004,16,14.9,303,0.503,10.5,55.0,337,0.513,173,23.2,aaron-gordon-1,Starter
2014,Aaron Gordon,Arizona,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,13.0,75,3.4,39,9.6,pac-12,19.3,201.0,0.516,382,189,0.47100000000000003,180,0.42200000000000004,76,1187.0,10.4,102.0,90.0,470,1.8,34,0.11800000000000001,45,0.35600000000000004,16,14.9,303,0.503,10.5,55.0,337,0.513,173,23.2,aaron-gordon-1,Starter
2007,Aaron Gray,Pittsburgh,49,C,12.07,3.1,3.7,27.0,32.5,17.0,10.8,9.12,9.86,84.0,85.75,108.5,271.0,87.25,14.0,147,3.7,130,,,,504.0,0.55,789,434,0.513,405,0.595,241,2360.0,,286.0,238.0,1109,,41,0.0,0,,0,19.4,790,0.565,15.2,176.0,789,0.55,434,24.9,aaron-gray-1,Bust
2007,Aaron Gray,Pittsburgh,49,C,12.07,3.1,3.7,27.0,32.5,17.0,10.8,9.12,9.86,84.0,85.75,108.5,271.0,87.25,,61,,62,,big-east,,221.0,0.565,361,204,0.46,166,0.5479999999999999,91,1016.0,,120.0,91.0,499,,15,0.0,0,,0,,341,0.5670000000000001,11.1,55.0,361,0.565,204,,aaron-gray-1,Bust
2018,Aaron Holiday,California-Los Angeles,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,25.5,477,0.7,22,4.8,,8.7,272.0,0.535,1058,476,0.37,391,0.795,311,3209.0,1.7,48.0,271.0,1443,2.2,126,0.40399999999999997,427,0.42200000000000004,180,5.4,320,0.58,19.6,304.0,631,0.469,296,23.3,aaron-holiday-1,Exclude
2018,Aaron Holiday,California-Los Angeles,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,29.9,192,0.7,8,6.2,pac-12,8.7,104.0,0.557,460,212,0.41700000000000004,192,0.828,159,1244.0,1.6,17.0,87.0,671,1.9,42,0.446,205,0.429,88,5.3,121,0.609,18.5,125.0,255,0.486,124,26.7,aaron-holiday-1,Exclude
2016,Abdel Nader,Iowa State,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,10.2,127,2.9,71,-0.5,,17.5,399.0,0.44799999999999995,1106,432,0.266,294,0.731,215,2845.0,4.2,104.0,287.0,1207,2.0,95,0.38,420,0.305,128,10.6,503,0.484,17.7,267.0,686,0.44299999999999995,304,27.5,abdel-nader-1,Exclude
2016,Abdel Nader,Iowa State,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,8.0,54,2.1,23,4.5,big-12,14.3,148.0,0.555,337,161,0.315,106,0.736,78,1088.0,2.9,26.0,98.0,452,1.9,37,0.415,140,0.371,52,9.0,174,0.583,16.9,79.0,197,0.5529999999999999,109,21.5,abdel-nader-1,Exclude
