year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,classification,classification,assist_percentage,block_percentage,defensive_rebound_percentage,effective_field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,offensive_rebound_percentage,points,steal_percentage,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,player_id,classification,classification
2000,A.J. Guyton,Indiana,32,G,10.55,3.04,3.22,33.0,37.5,9.0,6.39,8.46,9.1,72.75,76.12,97.5,175.0,75.75,Bust,Bust,,,,0.541,0.249,0.79,,2100,,0.41700000000000004,0.414,,0.5720000000000001,13.6,0.484,,aj-guyton-1,Bust,Bust
2007,Aaron Brooks,Oregon,26,G,10.57,3.04,3.2,32.5,39.5,6.0,2.7,8.46,9.1,70.0,71.75,94.0,161.0,76.0,Role Player,Role Player,26.2,0.3,,0.518,0.315,0.8340000000000001,,1511,,0.47100000000000003,0.374,6.6,0.565,18.5,0.479,23.2,aaron-brooks-1,Role Player,Role Player
2014,Aaron Gordon,Arizona,4,F,10.81,2.76,3.27,32.5,39.0,11.36,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,Bust,Bust,13.0,3.4,19.3,0.516,0.47100000000000003,0.42200000000000004,10.4,470,1.8,0.11800000000000001,0.35600000000000004,14.9,0.503,10.5,0.513,23.2,aaron-gordon-1,Bust,Bust
2007,Aaron Gray,Pittsburgh,49,C,12.07,3.1,3.7,27.0,32.5,17.0,10.8,9.12,9.86,84.0,85.75,108.5,271.0,87.25,Bust,Bust,14.0,3.7,,0.55,0.513,0.595,,1109,,0.0,,19.4,0.565,15.2,0.55,24.9,aaron-gray-1,Bust,Bust
2018,Aaron Holiday,California-Los Angeles,23,G,10.96,3.22,3.27,25.5,33.0,8.78,6.4,8.75,8.5,71.75,72.75,97.0,187.0,79.5,Bust,Bust,25.5,0.7,8.7,0.535,0.37,0.795,1.7,1443,2.2,0.40399999999999997,0.42200000000000004,5.4,0.58,19.6,0.469,23.3,aaron-holiday-1,Bust,Bust
2016,Abdel Nader,Iowa State,58,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,Bust,Bust,10.2,2.9,17.5,0.44799999999999995,0.266,0.731,4.2,1207,2.0,0.38,0.305,10.6,0.484,17.7,0.44299999999999995,27.5,abdel-nader-1,Bust,Bust
2007,Acie Law,Texas A&M,11,G,11.0,3.04,3.22,29.0,34.0,8.0,5.6,8.46,9.1,74.0,75.5,98.0,186.0,78.5,Bust,Bust,31.8,0.0,,0.51,0.35,0.76,,1669,,0.24600000000000002,0.35700000000000004,5.7,0.551,16.5,0.502,25.3,acie-law-1,Bust,Bust
2006,Adam Morrison,Gonzaga,3,F,11.46,3.1,3.37,25.5,30.5,11.0,6.8,8.95,9.59,78.5,79.75,105.0,198.0,82.0,Bust,Bust,17.4,0.9,,0.552,0.397,0.7609999999999999,,1867,,0.262,0.368,9.4,0.591,9.4,0.551,26.7,adam-morrison-1,Bust,Bust
2014,Adreian Payne,Michigan State,15,F,11.46,3.1,3.3,29.41,34.23,11.36,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,Bust,Bust,6.6,5.8,22.4,0.562,0.43200000000000005,0.755,9.5,1232,1.7,0.175,0.409,16.1,0.601,15.4,0.551,22.9,adreian-payne-1,Bust,Bust
2007,Al Horford,Florida,3,F,12.15,3.1,3.37,31.0,35.5,20.0,9.1,8.95,9.59,80.0,81.75,107.0,246.0,84.75,All-Star,All-Star,11.6,4.9,,0.586,0.613,0.619,,1123,,0.006,0.0,17.0,0.601,15.6,0.589,18.6,al-horford-1,All-Star,All-Star
2007,Al Thornton,Florida State,14,F,11.96,3.1,3.16,35.0,41.0,9.0,5.8,8.95,9.59,77.75,79.0,104.0,221.0,85.0,Bust,Bust,7.3,2.0,,0.5589999999999999,0.505,0.701,,1521,,0.139,0.43799999999999994,14.6,0.593,14.4,0.5429999999999999,28.3,al-thornton-1,Bust,Bust
2010,Al-Farouq Aminu,Wake Forest,8,F,11.29,3.1,3.3,27.0,33.5,13.0,8.2,9.5,9.5,79.25,80.5,108.5,216.0,87.25,Starter,Starter,9.1,4.5,20.5,0.495,0.534,0.687,14.6,892,2.6,0.16,0.23800000000000002,17.6,0.541,17.9,0.522,27.5,al-farouq-aminu-1,Starter,Starter
2007,Alando Tucker,Wisconsin,29,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,Bust,Bust,13.7,0.4,,0.51,0.491,0.636,,2217,,0.198,0.307,10.6,0.54,10.0,0.522,30.8,alando-tucker-1,Bust,Bust
2011,Alec Burks,Colorado,12,G,10.96,3.04,3.17,29.0,36.0,5.0,5.1,9.0,8.25,77.0,78.0,103.5,192.6,82.0,Role Player,Role Player,17.0,1.2,13.7,0.522,0.579,0.804,8.8,1291,2.1,0.175,0.313,11.3,0.5920000000000001,12.6,0.5329999999999999,30.0,alec-burks-1,Role Player,Role Player
2017,Alec Peters,Valparaiso,54,F,11.46,3.1,3.3,29.41,34.23,11.36,8.8,8.75,10.0,79.25,80.75,105.0,232.0,82.75,Bust,Bust,11.0,1.0,18.7,0.5760000000000001,0.349,0.846,7.4,2348,1.4,0.428,0.41600000000000004,13.3,0.621,11.6,0.539,25.6,alec-peters-1,Bust,Bust
2005,Alex Acker,Pepperdine,60,G,11.67,3.04,3.35,28.0,32.0,11.0,6.39,8.46,9.1,75.75,76.75,102.5,183.0,84.0,Bust,Bust,19.9,0.9,,0.518,0.315,0.823,,1273,,0.297,0.41100000000000003,9.5,0.563,16.9,0.47600000000000003,22.2,alex-acker-1,Bust,Bust
2013,Alex Len,Maryland,5,C,11.96,3.1,3.42,27.58,31.48,10.79,6.4,9.0,10.75,82.59,83.73,110.57,247.02,87.5,Role Player,Role Player,7.2,8.6,21.2,0.539,0.47600000000000003,0.6629999999999999,11.8,583,0.5,0.022000000000000002,0.111,16.5,0.569,15.4,0.5479999999999999,20.7,alex-len-1,Role Player,Role Player
2006,Alexander Johnson,Florida State,45,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,Bust,Bust,6.3,2.7,,0.53,0.703,0.667,,900,,0.066,0.308,16.7,0.573,23.3,0.535,26.8,alexander-johnson-1,Bust,Bust
2018,Alize Johnson,Missouri State,50,F,11.83,3.28,3.38,25.0,31.0,8.0,8.1,8.5,9.75,79.25,80.0,103.0,216.6,80.75,Bust,Bust,16.6,1.1,29.9,0.511,0.41,0.716,12.2,982,1.0,0.33399999999999996,0.325,21.1,0.551,14.4,0.523,26.4,alize-johnson-1,Bust,Bust
2013,Allen Crabbe,California,31,G,10.67,3.1,3.32,30.5,36.0,10.0,4.65,8.25,8.5,77.25,78.25,103.5,197.4,83.25,Bust,Bust,13.6,1.7,16.6,0.5329999999999999,0.268,0.8190000000000001,3.1,1537,1.5,0.45799999999999996,0.382,10.0,0.5710000000000001,11.9,0.5,23.3,allen-crabbe-1,Bust,Bust
2001,Alton Ford,Houston,50,F,11.7,3.1,3.16,34.5,36.5,21.0,8.0,8.95,9.59,80.25,80.81,102.5,271.0,82.5,Bust,Bust,,,,0.452,0.605,0.609,,280,,0.155,0.265,,0.494,18.9,0.462,,alton-ford-1,Bust,Bust
2001,Alvin Jones,Georgia Tech,56,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,Bust,Bust,,,,0.489,0.78,0.574,,1312,,0.004,0.0,,0.52,20.4,0.491,,alvin-jones-1,Bust,Bust
