player_name,pro_id,cbb_id
Kenyon Martin,martike01,kenyon-martin-1
Stromile Swift,swiftst01,stromile-swift-1
Darius Miles,milesda01,
Marcus Fizer,fizerma01,marcus-fizer-1
Mike Miller,millemi01,mike-miller-1
DerMarr Johnson,johnsde03,dermarr-johnson-1
Chris Mihm,mihmch01,chris-mihm-1
Jamal Crawford,crawfja01,jamal-crawford-1
Joel Przybilla,przybjo01,joel-przybilla-1
Keyon Dooling,doolike01,keyon-dooling-1
Jérôme Moïso,moisoje01,jerome-moiso-1
Etan Thomas,thomaet01,etan-thomas-1
Courtney Alexander,alexaco02,courtney-alexander-1
Mateen Cleaves,cleavma01,mateen-cleaves-1
Jason Collier,collija02,jason-collier-1
Hedo Türkoğlu,turkohe01,
Desmond Mason,masonde01,desmond-mason-1
Quentin Richardson,richaqu01,quentin-richardson-1
Jamaal Magloire,magloja01,jamaal-magloire-1
Speedy Claxton,claxtsp01,speedy-claxton-1
Morris Peterson,petermo01,morris-peterson-1
Donnell Harvey,harvedo01,donnell-harvey-1
DeShawn Stevenson,stevede01,
Dalibor Bagarić,bagarda01,
Jake Tsakalidis,tsakaja01,
Mamadou N'Diaye,ndiayma02,mamadou-ndiaye-1
Primož Brezec,brezepr01,
Erick Barkley,barkler01,erick-barkley-1
Mark Madsen,madsema01,mark-madsen-1
Marko Jarić,jaricma01,
Dan Langhi,langhda01,dan-langhi-1
A.J. Guyton,guytoaj01,aj-guyton-1
Jake Voskuhl,voskuja01,jake-voskuhl-1
Khalid El-Amin,elamikh01,khalid-el-amin-1
Mike Smith,smithmi03,mike-smith-1
Soumaila Samake,samakso01,
Eddie House,houseed01,eddie-house-1
Eduardo Nájera,najered01,eduardo-najera-1
Lavor Postell,postela01,lavor-postell-1
Hanno Möttölä,mottoha01,hanno-mottola-1
Olumide Oyedeji,oyedeol01,
Michael Redd,reddmi01,michael-redd-1
Brian Cardinal,cardibr01,brian-cardinal-1
Jabari Smith,smithja01,jabari-smith-1
Jason Hart,hartja01,jason-hart-1
Kaniel Dickens,dickeka01,kaniel-dickens-1
Igor Rakočević,rakocig01,
Ernest Brown,browner01,
Dan McClintock,mcclida01,dan-mcclintock-1
Chris Porter,portech01,chris-porter-1
Kwame Brown,brownkw01,
Tyson Chandler,chandty01,
Pau Gasol,gasolpa01,
Eddy Curry,curryed01,
Jason Richardson,richaja01,jason-richardson-1
Shane Battier,battish01,shane-battier-1
Eddie Griffin,griffed01,eddie-griffin-1
DeSagana Diop,diopde01,
Rodney White,whitero02,rodney-white-1
Joe Johnson,johnsjo02,joe-johnson-1
Kedrick Brown,brownke01,
Vladimir Radmanović,radmavl01,
Richard Jefferson,jefferi01,richard-jefferson-1
Troy Murphy,murphtr01,troy-murphy-1
Steven Hunter,huntest01,steven-hunter-1
Kirk Haston,hastoki01,kirk-haston-1
Michael Bradley,bradlmi01,michael-bradley-1
Jason Collins,collija04,jason-collins-1
Zach Randolph,randoza01,zach-randolph-1
Brendan Haywood,haywobr01,brendan-haywood-1
Joseph Forte,fortejo01,joseph-forte-1
Jeryl Sasser,sasseje01,jeryl-sasser-1
Brandon Armstrong,armstbr01,brandon-armstrong-1
Raül López,lopezra01,
Gerald Wallace,wallage01,gerald-wallace-1
Samuel Dalembert,dalemsa01,samuel-dalembert-1
Jamaal Tinsley,tinslja01,jamaal-tinsley-1
Tony Parker,parketo01,
Trenton Hassell,hassetr01,trenton-hassell-1
Gilbert Arenas,arenagi01,gilbert-arenas-1
Omar Cook,cookom01,omar-cook-1
Will Solomon,solomwi01,will-solomon-1
Terence Morris,morrite01,terence-morris-1
Brian Scalabrine,scalabr01,brian-scalabrine-1
Jeff Trepagnier,trepaje01,jeff-trepagnier-1
Damone Brown,brownda02,damone-brown-1
Mehmet Okur,okurme01,
Earl Watson,watsoea01,earl-watson-1
Jamison Brewer,breweja01,jamison-brewer-1
Bobby Simmons,simmobo01,bobby-simmons-1
Sean Lampley,lamplse01,sean-lampley-1
Loren Woods,woodslo01,loren-woods-1
Antonis Fotsis,fotsian01,
Ken Johnson,johnske03,ken-johnson-2
Ruben Boumtje-Boumtje,boumtru01,ruben-boumtje-boumtje-1
Alton Ford,fordal02,alton-ford-1
Jarron Collins,collija03,jarron-collins-1
Kenny Satterfield,satteke01,kenny-satterfield-1
Robertas Javtokas,javtoro01,robertas-javtokas-1
Alvin Jones,jonesal01,alvin-jones-1
Yao Ming,mingya01,
Jay Williams,willija03,jay-williams-1
Mike Dunleavy,dunlemi02,mike-dunleavy-2
Drew Gooden,goodedr01,drew-gooden-1
Nikoloz Tskitishvili,tskitni01,
Dajuan Wagner,wagneda02,dajuan-wagner-1
Nenê Hilário,hilarne01,
Chris Wilcox,wilcoch01,chris-wilcox-1
Amar'e Stoudemire,stoudam01,
Caron Butler,butleca01,caron-butler-1
Jared Jeffries,jeffrja01,jared-jeffries-1
Melvin Ely,elyme01,melvin-ely-1
Marcus Haislip,haislma01,marcus-haislip-1
Fred Jones,jonesfr01,fred-jones-1
Boštjan Nachbar,nachbbo01,
Jiří Welsch,welscji01,
Juan Dixon,dixonju01,juan-dixon-1
Curtis Borchardt,borchcu01,curtis-borchardt-1
Ryan Humphrey,humphry01,ryan-humphrey-1
Kareem Rush,rushka01,kareem-rush-1
Qyntel Woods,woodsqy01,
Casey Jacobsen,jacobca01,casey-jacobsen-1
Tayshaun Prince,princta01,tayshaun-prince-1
Nenad Krstić,krstine01,
Frank Williams,willifr02,frank-williams-1
John Salmons,salmojo01,john-salmons-1
Chris Jefferies,jeffech01,chris-jefferies-1
Dan Dickau,dickada01,dan-dickau-1
Roger Mason,masonro01,roger-mason-1
Robert Archibald,archiro01,robert-archibald-1
Vincent Yarbrough,yarbrvi01,vincent-yarbrough-1
Dan Gadzuric,gadzuda01,dan-gadzuric-1
Carlos Boozer,boozeca01,carlos-boozer-1
David Andersen,anderda03,
Tito Maddox,maddoti01,tito-maddox-1
Juan Carlos Navarro,navarju01,
Mario Kasun,kasunma01,
Ronald Murray,murraro01,
Lonny Baxter,baxtelo01,lonny-baxter-1
Matt Barnes,barnema02,matt-barnes-1
Jamal Sampson,sampsja01,jamal-sampson-1
Chris Owens,owensch01,chris-owens-1
