,year,player_id,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
0,2000,abdulta01,14.4,0.484,0.041,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,0.4,1.6,2.0,0.082,-1.0,0.2,-0.8,0.4
1,2000,abdulta01,10.8,0.448,0.015,0.321,6.9,8.2,7.6,11.0,0.8,2.2,11.3,19.7,0.0,0.2,0.2,0.023,-1.7,-0.9,-2.5,0.0
2,2000,abdursh01,20.2,0.547,0.075,0.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,6.2,2.6,8.8,0.132,2.6,-0.4,2.2,3.4
3,2000,alexaco01,8.8,0.381,0.357,0.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18.0,-0.5,0.4,-0.1,-0.012,-4.1,1.8,-2.4,0.0
4,2000,allenra02,20.6,0.57,0.288,0.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,9.0,1.0,10.1,0.157,4.7,-1.1,3.6,4.3
5,2000,alstora01,4.3,0.31,0.147,0.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,-0.7,0.0,-0.7,-0.095,-5.0,-2.3,-7.3,-0.5
6,2000,amaecjo01,13.2,0.505,0.009,0.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,0.6,1.8,2.4,0.067,-1.8,-0.8,-2.5,-0.2
7,2000,anderde01,16.9,0.542,0.207,0.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,3.1,0.3,3.3,0.073,1.2,-1.2,-0.1,1.1
8,2000,anderke01,17.4,0.524,0.223,0.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,5.4,1.9,7.3,0.136,1.7,0.1,1.8,2.5
9,2000,anderni01,11.8,0.479,0.508,0.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0.3,2.5,2.8,0.064,-0.6,0.3,-0.3,0.9
10,2000,andersh01,13.8,0.567,0.289,0.325,3.9,11.9,8.0,14.3,1.8,0.8,17.9,17.6,3.0,1.9,4.9,0.087,-0.3,-0.2,-0.5,1.1
11,2000,anstech01,15.1,0.512,0.016,0.404,10.3,22.5,16.3,13.2,1.5,1.8,15.7,23.1,0.6,1.3,1.9,0.09,-2.1,-0.1,-2.3,-0.1
