year,player,team,affiliation,round,round_pick,overall_pick,timestamp,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan
2000,A.J. Guyton,Chicago Bulls,Indiana,2,3,32,04/25/20 18:02:53,PG-SG,10.55,-,3.22,33.0,37.5,9,-%,-,-,6' 0.75'',,8' 1.5'',175.0,6' 3.75''
2016,AJ Hammons,Dallas Mavericks,Purdue,2,16,46,04/25/20 18:02:53,,,,,,,,,,,,,,,
2009,AJ Price,Indiana Pacers,Connecticut,2,22,52,04/25/20 18:02:53,,,,,,,,,,,,,,,
2007,Aaron Brooks,Houston Rockets,Oregon,1,26,26,04/25/20 18:02:53,PG,10.57,-,3.20,32.5,39.5,6,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161.0,6' 4''
2014,Aaron Gordon,Orlando Magic,Arizona,1,4,4,04/25/20 18:02:53,PF,10.81,2.76,3.27,32.5,39.0,-,5.05%,8.75,10.50,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
2007,Aaron Gray,Chicago Bulls,Pittsburgh,2,19,49,04/25/20 18:02:53,C,12.07,-,3.70,27.0,32.5,17,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271.0,7' 3.25''
2018,Aaron Holiday,Indiana Pacers,California-Los Angeles,1,23,23,04/25/20 18:02:53,PG,10.96,3.22,3.27,25.5,33.0,-,6.40%,8.75,8.50,5' 11.75'',6' 0.75'',8' 1'',187.0,6' 7.5''
2015,Aaron White,Washington Wizards,Iowa,2,19,49,04/25/20 18:02:53,,,,,,,,,,,,,,,
2016,Abdel Nader,Boston Celtics,Iowa State,2,28,58,04/25/20 18:02:53,,,,,,,,,,,,,,,
2007,Acie Law,Atlanta Hawks,Texas A&M,1,11,11,04/25/20 18:02:53,PG,11.00,-,3.22,29.0,34.0,8,5.60%,-,-,6' 2'',6' 3.5'',8' 2'',186.0,6' 6.5''
2007,Adam Haluska,New Orleans Hornets,Iowa,2,13,43,04/25/20 18:02:53,,,,,,,,,,,,,,,
2011,Adam Hanga,San Antonio Spurs,Alba Fehervar (Hungary),2,29,59,04/25/20 18:02:53,,,,,,,,,,,,,,,
2006,Adam Morrison,Charlotte Bobcats,Gonzaga,1,3,3,04/25/20 18:02:53,SF,11.46,-,3.37,25.5,30.5,11,6.80%,-,-,6' 6.5'',6' 7.75'',8' 9'',198.0,6' 10''
2019,Admiral Schofield,Philadelphia 76ers,Tennessee,2,12,42,04/25/20 18:02:53,SF,10.77,2.87,3.37,30.0,34.0,15,6.80%,8.75,9.00,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
2014,Adreian Payne,Atlanta Hawks,Michigan State,1,15,15,04/25/20 18:02:53,PF,-,-,-,-,-,-,7.55%,9.25,9.50,6' 9'',6' 9.75'',9' 1'',238.5,7' 4''
2009,Ahmad Nivins,Dallas Mavericks,Saint Joseph's,2,26,56,04/25/20 18:02:53,,,,,,,,,,,,,,,
2007,Al Horford,Atlanta Hawks,Florida,1,3,3,04/25/20 18:02:53,PF,12.15,-,3.37,31.0,35.5,20,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246.0,7' 0.75''
2004,Al Jefferson,Boston Celtics,Prentiss,1,15,15,04/25/20 18:02:53,PF-SF,13.08,-,3.29,28.5,30.0,3,10.50%,-,-,6' 8.5'',6' 9.75'',9' 2'',263.0,7' 2.5''
2007,Al Thornton,Los Angeles Clippers,Florida State,1,14,14,04/25/20 18:02:53,SF,11.96,-,3.16,35.0,41.0,9,5.80%,-,-,6' 5.75'',6' 7'',8' 8'',221.0,7' 1''
2010,Al-Farouq Aminu,Los Angeles Clippers,Wake Forest,1,8,8,04/25/20 18:02:53,SF,11.29,-,3.30,27.0,33.5,13,8.20%,9.50,9.50,6' 7.25'',6' 8.5'',9' 0.5'',216.0,7' 3.25''
2007,Alando Tucker,Phoenix Suns,Wisconsin,1,29,29,04/25/20 18:02:53,,,,,,,,,,,,,,,
2004,Albert Miralles,Toronto Raptors,Roseto Sharks (Italy),2,10,39,04/25/20 18:02:53,,,,,,,,,,,,,,,
2014,Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2,20,50,04/25/20 18:02:53,PF,12.05,2.91,3.48,27.0,30.0,-,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5''
2011,Alec Burks,Utah Jazz,Colorado,1,12,12,04/25/20 18:02:53,SG,10.96,-,3.17,29.0,36.0,5,5.10%,9.00,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
2017,Alec Peters,Phoenix Suns,Valparaiso,2,24,54,04/25/20 18:02:53,PF,-,-,-,-,-,-,8.80%,8.75,10.00,6' 7.25'',6' 8.75'',8' 9'',232.0,6' 10.75''
2017,Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2,27,57,04/25/20 18:02:53,,,,,,,,,,,,,,,
2019,Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2,9,39,04/25/20 18:02:53,,,,,,,,,,,,,,,
2014,Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2,23,53,04/25/20 18:02:53,,,,,,,,,,,,,,,
2013,Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2,2,32,04/25/20 18:02:53,,,,,,,,,,,,,,,
